make,model,generation,year_from,year_to,series,trim,body_type,load_height_mm,number_of_seats,length_mm,width_mm,height_mm,wheelbase_mm,front_track_mm,rear_track_mm,curb_weight_kg,wheel_size_r14,ground_clearance_mm,trailer_load_with_brakes_kg,payload_kg,back_track_width_mm,front_track_width_mm,clearance_mm,full_weight_kg,front_rear_axle_load_kg,max_trunk_capacity_l,cargo_compartment_length_width_height_mm,cargo_volume_m3,minimum_trunk_capacity_l,maximum_torque_n_m,injection_type,overhead_camshaft,cylinder_layout,number_of_cylinders,compression_ratio,engine_type,valves_per_cylinder,boost_type,cylinder_bore_mm,stroke_cycle_mm,engine_placement,cylinder_bore_and_stroke_cycle_mm,turnover_of_maximum_torque_rpm,max_power_kw,presence_of_intercooler,capacity_cm3,engine_hp,engine_hp_rpm,drive_wheels,bore_stroke_ratio,number_of_gears,turning_circle_m,transmission,mixed_fuel_consumption_per_100_km_l,range_km,emission_standards,fuel_tank_capacity_l,acceleration_0_100_km/h_s,max_speed_km_per_h,city_fuel_per_100km_l,CO2_emissions_g/km,fuel_grade,highway_fuel_per_100km_l,back_suspension,rear_brakes,front_brakes,front_suspension,steering_type,car_class,country_of_origin,number_of_doors,safety_assessment,rating_name,battery_capacity_KW_per_h,electric_range_km,charging_time_h
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1775 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,110,,,,,front+rear,"85,0 x 96,0 mm",,,9 speed automatic,n.b.,,159 g/km,,"10,3 s",180 km/h,- l/100km,159 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1765 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,110,,,,,front+rear,"85,0 x 96,0 mm",,,6 speed manual transmission,n.b.,,149 g/km,,"11,7 s",180 km/h,- l/100km,149 g/km,,"5,7 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1775 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,110,,,,,front+rear,"85,0 x 96,0 mm",,,9 speed automatic,n.b.,,159 g/km,,"10,3 s",180 km/h,- l/100km,159 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1775 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,140,,,,,front+rear,"85,0 x 96,0 mm",,,6 speed manual transmission,n.b.,,159 g/km,,"10,4 s",188 km/h,- l/100km,159 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1755 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,140,,,,,front+rear,"85,0 x 96,0 mm",,,9 speed automatic,n.b.,,161 g/km,,"8,9 s",188 km/h,- l/100km,161 g/km,,"6,1 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1775 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,140,,,,,front+rear,"85,0 x 96,0 mm",,,6 speed manual transmission,n.b.,,159 g/km,,"10,4 s",188 km/h,- l/100km,159 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1755 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,140,,,,,front+rear,"85,0 x 96,0 mm",,,9 speed automatic,n.b.,,161 g/km,,"8,9 s",188 km/h,- l/100km,161 g/km,,"6,1 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1775 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,140,,,,,front+rear,"85,0 x 96,0 mm",,,6 speed manual transmission,n.b.,,159 g/km,,"10,4 s",188 km/h,- l/100km,159 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1755 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,140,,,,,front+rear,"85,0 x 96,0 mm",,,9 speed automatic,n.b.,,161 g/km,,"8,9 s",188 km/h,- l/100km,161 g/km,,"6,1 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1775 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,140,,,,,front+rear,"85,0 x 96,0 mm",,,6 speed manual transmission,n.b.,,159 g/km,,"10,4 s",188 km/h,- l/100km,159 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Land Rover,Land Rover Discovery Sport,fuel engine,2014,2014,,,"5-doors, suv/crossover",,,4599 mm,1895 mm,1724 mm,,,,1755 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 96,0 mm",,140,,,,,front+rear,"85,0 x 96,0 mm",,,9 speed automatic,n.b.,,161 g/km,,"8,9 s",188 km/h,- l/100km,161 g/km,,"6,1 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Landwind,Landwind Landwind,fuel engine,2005,2005,,,"5-doors, suv/crossover",,,4745 mm,1800 mm,1750 mm,,,,1750 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"86,0 x 86,0 mm",,84,,,,,rear,"86,0 x 86,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,160 km/h,- l/100km,- g/km,,"8,5 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Landwind,Landwind Landwind,fuel engine,2005,2005,,,"5-doors, suv/crossover",,,4745 mm,1800 mm,1750 mm,,,,1750 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 95,0 mm",,92,,,,,rear,"85,0 x 95,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,175 km/h,- l/100km,- g/km,,"9,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Landwind,Landwind Landwind,fuel engine,2005,2005,,,"5-doors, suv/crossover",,,4745 mm,1800 mm,1750 mm,,,,1830 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 95,0 mm",,92,,,,,front+rear,"85,0 x 95,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,175 km/h,- l/100km,- g/km,,"9,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Landwind,Landwind Landwind,fuel engine,2005,2005,,,"5-doors, suv/crossover",,,4745 mm,1800 mm,1750 mm,,,,1830 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"102,0 x 93,0 mm",,68,,,,,rear,"102,0 x 93,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,145 km/h,- l/100km,- g/km,,"7,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Landwind,Landwind Landwind,fuel engine,2005,2005,,,"5-doors, suv/crossover",,,4745 mm,1800 mm,1750 mm,,,,1930 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"102,0 x 93,0 mm",,68,,,,,front+rear,"102,0 x 93,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,145 km/h,- l/100km,- g/km,,"7,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Lexus,Lexus UX,hybrid,2019,2019,,,"5-doors, suv/crossover",,,4495 mm,1840 mm,1540 mm,,,,1515 kg,,,,,,,,,,,,,,,,,,,,hybrid,4,,,,,n.b.,,135,,,,,front,n.b.,,,traploze automatic,"5,6 l/100km (2)",,94 g/km,,"8,5 s",177 km/h,"3,7 l/100km",94 g/km,,"5,3 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Lexus,Lexus UX,hybrid,2019,2019,,,"5-doors, suv/crossover",,,4495 mm,1840 mm,1540 mm,,,,1515 kg,,,,,,,,,,,,,,,,,,,,hybrid,4,,,,,n.b.,,135,,,,,front,n.b.,,,traploze automatic,"5,6 l/100km (2)",,94 g/km,,"8,5 s",177 km/h,"3,7 l/100km",94 g/km,,"5,3 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Lexus,Lexus UX,hybrid,2019,2019,,,"5-doors, suv/crossover",,,4495 mm,1840 mm,1540 mm,,,,1515 kg,,,,,,,,,,,,,,,,,,,,hybrid,4,,,,,n.b.,,135,,,,,front,n.b.,,,traploze automatic,"5,6 l/100km (2)",,94 g/km,,"8,5 s",177 km/h,"3,7 l/100km",94 g/km,,"4,1 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Lexus,Lexus UX,hybrid,2019,2019,,,"5-doors, suv/crossover",,,4495 mm,1840 mm,1540 mm,,,,1515 kg,,,,,,,,,,,,,,,,,,,,hybrid,4,,,,,n.b.,,135,,,,,front,n.b.,,,traploze automatic,"5,6 l/100km (2)",,94 g/km,,"8,5 s",177 km/h,"3,7 l/100km",94 g/km,,"5,3 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Lexus,Lexus UX,hybrid,2019,2019,,,"5-doors, suv/crossover",,,4495 mm,1840 mm,1540 mm,,,,1515 kg,,,,,,,,,,,,,,,,,,,,hybrid,4,,,,,n.b.,,135,,,,,front,n.b.,,,traploze automatic,"5,6 l/100km (2)",,97 g/km,,"8,5 s",177 km/h,"3,9 l/100km",97 g/km,,"5,5 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Lexus,Lexus UX,hybrid,2019,2019,,,"5-doors, suv/crossover",,,4495 mm,1840 mm,1540 mm,,,,1575 kg,,,,,,,,,,,,,,,,,,,,hybrid,4,,,,,n.b.,,135,,,,,front+rear,n.b.,,,traploze automatic,n.b.,,103 g/km,,"8,7 s",177 km/h,"4,2 l/100km",103 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Lincoln,Lincoln Town Car,fuel engine,1994,1994,,,"4-doors, sedan",,,5560 mm,1953 mm,1445 mm,,,,1825 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"90,2 x 90,0 mm",,156,,,,,rear,"90,2 x 90,0 mm",,,4 speed automatic,n.b.,,- g/km,,"11,0 s",180 km/h,- l/100km,- g/km,,- l/100km,coil springs,,,coil springs,,,,4-doors,,,,,
Lotus,Lotus Exige,fuel engine,2000,2000,,,"2-doors, coupé",,,3780 mm,1720 mm,1175 mm,,,,780 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"80,0 x 89,3 mm",,133,,,,,rear,"80,0 x 89,3 mm",,,5 speed manual transmission,n.b.,,- g/km,,"4,9 s",219 km/h,- l/100km,- g/km,,- l/100km,coil springs,,,coil springs,,,,2-doors,,,,,
Marcos,Marcos Mantara,fuel engine,1994,1994,,,"2-doors, convertible",,,4005 mm,1680 mm,1150 mm,,,,1075 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"94,0 x 71,1 mm",,140,,,,,rear,"94,0 x 71,1 mm",,,5 speed manual transmission,n.b.,,- g/km,,"5,4 s",225 km/h,- l/100km,- g/km,,- l/100km,coil springs,,,coil springs,,,,2-doors,,,,,
Maserati,Maserati GranTurismo,fuel engine,2007,2007,,,"2-doors, coupé",,,4881 mm,1915 mm,1353 mm,,,,1780 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"92,0 x 80,0 mm",,298,,,,,rear,"92,0 x 80,0 mm",,,6 speed semi-automatic,n.b.,,330 g/km,,"5,2 s",285 km/h,"21,6 l/100km",330 g/km,,"14,3 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Maybach,Maybach 62,fuel engine,2002,2002,,,"4-doors, sedan",,,6165 mm,1980 mm,1573 mm,,,,2755 kg,,,,,,,,,,,,,,,,,,,,fuel engine,3,,,,,"82,0 x 87,0 mm",,405,,,,,rear,"82,0 x 87,0 mm",,,5 speed automatic,n.b.,,383 g/km,,"5,4 s",250 km/h,"24,5 l/100km",383 g/km,,"15,9 l/100km",air suspension,,,air suspension,,,,4-doors,,,,,
Mazda,Mazda MX-5 RF,fuel engine,2017,2017,,,"2-doors, convertible",,,3915 mm,1735 mm,1225 mm,,,,1005 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"74,5 x 85,8 mm",,96,,,,,rear,"74,5 x 85,8 mm",,,6 speed manual transmission,n.b.,,139 g/km,,"8,6 s",204 km/h,"7,9 l/100km",139 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Mazda,Mazda MX-5 RF,fuel engine,2017,2017,,,"2-doors, convertible",,,3915 mm,1735 mm,1225 mm,,,,1005 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"74,5 x 85,8 mm",,96,,,,,rear,"74,5 x 85,8 mm",,,6 speed manual transmission,n.b.,,139 g/km,,"8,6 s",204 km/h,"7,9 l/100km",139 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Mazda,Mazda MX-5 RF,fuel engine,2017,2017,,,"2-doors, convertible",,,3915 mm,1735 mm,1225 mm,,,,1005 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"74,5 x 85,8 mm",,96,,,,,rear,"74,5 x 85,8 mm",,,6 speed manual transmission,n.b.,,139 g/km,,"8,6 s",204 km/h,"7,9 l/100km",139 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Mazda,Mazda MX-5 RF,fuel engine,2017,2017,,,"2-doors, convertible",,,3915 mm,1735 mm,1230 mm,,,,1045 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,5 x 91,2 mm",,118,,,,,rear,"83,5 x 91,2 mm",,,6 speed manual transmission,n.b.,,154 g/km,,"7,5 s",214 km/h,"8,7 l/100km",154 g/km,,"6,6 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Mazda,Mazda MX-5 RF,fuel engine,2017,2017,,,"2-doors, convertible",,,3915 mm,1735 mm,1230 mm,,,,1070 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"83,5 x 91,2 mm",,118,,,,,rear,"83,5 x 91,2 mm",,,6 speed automatic,"6,9 l/100km (1)",,154 g/km,,"8,5 s",214 km/h,"8,7 l/100km",154 g/km,,"6,6 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
McLaren,Mclaren 720S,fuel engine,2017,2017,,,"2-doors, coupé",,,4543 mm,1930 mm,1196 mm,,,,1319 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"93,0 x 73,5 mm",,527,,,,,rear,"93,0 x 73,5 mm",,,7 speed automatic with double clutch,n.b.,,249 g/km,,"2,9 s",341 km/h,"16,5 l/100km",249 g/km,,"10,7 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Mega,Mega Tjaffer,fuel engine,1994,1994,,,"2-doors, convertible",,,3510 mm,1625 mm,1460 mm,,,,720 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"72,0 x 69,0 mm",,44,,,,,front,"72,0 x 69,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,140 km/h,- l/100km,- g/km,,"6,7 l/100km",torsion bar,,,coil springs,,,,2-doors,,,,,
Mega,Mega Tjaffer,fuel engine,1994,1994,,,"2-doors, convertible",,,3510 mm,1625 mm,1460 mm,,,,745 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"75,0 x 77,0 mm",,37,,,,,front,"75,0 x 77,0 mm",,,5 speed manual transmission,n.b.,,- g/km,,- s,140 km/h,- l/100km,- g/km,,"5,2 l/100km",torsion bar,,,coil springs,,,,2-doors,,,,,
Mercedes-Benz,Mercedes-Benz eSprinter,electric motor,2020,2020,,,"4-doors, van",,,6088 mm,1993 mm,2687 mm,,,,2460 kg,,,,,,,,,,,,,,,,,,,,electric motor,,,,,,,,85,,,,,front,,,,traploze automatic,,,0 g/km,,- s,100 km/h,,0 g/km,,,leaf springs,,,leaf springs,,,,4-doors,,,115 km,,
Mercury,Mercury Sable,fuel engine,1992,1992,,,"4-doors, sedan",,,4880 mm,1810 mm,1380 mm,,,,1430 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"96,8 x 86,0 mm",,104,,,,,front,"96,8 x 86,0 mm",,,4 speed automatic,n.b.,,- g/km,,"9,0 s",185 km/h,- l/100km,- g/km,,- l/100km,coil springs,,,coil springs,,,,4-doors,,,,,
Mercury,Mercury Sable,fuel engine,1992,1992,,,"4-doors, sedan",,,4880 mm,1810 mm,1380 mm,,,,1480 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"96,8 x 86,0 mm",,104,,,,,front,"96,8 x 86,0 mm",,,4 speed automatic,n.b.,,- g/km,,"9,0 s",185 km/h,- l/100km,- g/km,,- l/100km,coil springs,,,coil springs,,,,4-doors,,,,,
MG,MG ZS,fuel engine,2004,2004,,,"5-doors, hatchback",,,4360 mm,1695 mm,1380 mm,,,,1125 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"80,0 x 89,3 mm",,86,,,,,front,"80,0 x 89,3 mm",,,5 speed manual transmission,"8,8 l/100km (1)",,174 g/km,,"9,7 s",197 km/h,"9,7 l/100km",174 g/km,,"7,3 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
MG,MG ZS,fuel engine,2004,2004,,,"5-doors, hatchback",,,4360 mm,1695 mm,1380 mm,,,,1125 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"80,0 x 89,3 mm",,86,,,,,front,"80,0 x 89,3 mm",,,traploze automatic,n.b.,,- g/km,,- s,- km/h,- l/100km,- g/km,,- l/100km,coil springs,,,coil springs,,,,5-doors,,,,,
MG,MG ZS,fuel engine,2004,2004,,,"5-doors, hatchback",,,4360 mm,1695 mm,1380 mm,,,,1235 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"80,0 x 82,8 mm",,130,,,,,front,"80,0 x 82,8 mm",,,5 speed manual transmission,n.b.,,227 g/km,,"7,7 s",224 km/h,"14,1 l/100km",227 g/km,,"9,5 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
MG,MG ZS,fuel engine,2004,2004,,,"5-doors, hatchback",,,4360 mm,1695 mm,1380 mm,,,,1230 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"84,5 x 89,0 mm",,83,,,,,front,"84,5 x 89,0 mm",,,5 speed manual transmission,n.b.,,150 g/km,,"10,2 s",193 km/h,"7,8 l/100km",150 g/km,,"5,6 l/100km",coil springs,,,coil springs,,,,5-doors,,,,,
Mini,Mini Roadster,fuel engine,2012,2012,,,"2-doors, convertible",,,3728 mm,1683 mm,1384 mm,,,,1095 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"77,0 x 85,8 mm",,90,,,,,front,"77,0 x 85,8 mm",,,6 speed manual transmission,"7,0 l/100km (1)",,133 g/km,,"9,2 s",199 km/h,"7,2 l/100km",133 g/km,,"5,7 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Mini,Mini Roadster,fuel engine,2012,2012,,,"2-doors, convertible",,,3728 mm,1683 mm,1384 mm,,,,1135 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"77,0 x 85,8 mm",,90,,,,,front,"77,0 x 85,8 mm",,,6 speed automatic,n.b.,,154 g/km,,"10,5 s",192 km/h,"8,9 l/100km",154 g/km,,"6,6 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Mini,Mini Roadster,fuel engine,2012,2012,,,"2-doors, convertible",,,3734 mm,1683 mm,1384 mm,,,,1160 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"77,0 x 85,8 mm",,135,,,,,front,"77,0 x 85,8 mm",,,6 speed manual transmission,"8,9 l/100km (1)",,139 g/km,,"7,0 s",227 km/h,"7,5 l/100km",139 g/km,,"6,0 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Mini,Mini Roadster,fuel engine,2012,2012,,,"2-doors, convertible",,,3734 mm,1683 mm,1384 mm,,,,1180 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"77,0 x 85,8 mm",,135,,,,,front,"77,0 x 85,8 mm",,,6 speed automatic,n.b.,,153 g/km,,"7,2 s",222 km/h,"9,1 l/100km",153 g/km,,"6,6 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Mini,Mini Roadster,fuel engine,2012,2012,,,"2-doors, convertible",,,3734 mm,1683 mm,1384 mm,,,,1160 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"77,0 x 85,8 mm",,155,,,,,front,"77,0 x 85,8 mm",,,6 speed manual transmission,n.b.,,169 g/km,,"6,5 s",237 km/h,"9,6 l/100km",169 g/km,,"7,3 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Mini,Mini Roadster,fuel engine,2012,2012,,,"2-doors, convertible",,,3734 mm,1683 mm,1384 mm,,,,1190 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"77,0 x 85,8 mm",,155,,,,,front,"77,0 x 85,8 mm",,,6 speed automatic,n.b.,,169 g/km,,- s,- km/h,- l/100km,169 g/km,,- l/100km,coil springs,,,coil springs,,,,2-doors,,,,,
Mini,Mini Roadster,fuel engine,2012,2012,,,"2-doors, convertible",,,3734 mm,1683 mm,1384 mm,,,,1175 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,0 x 90,0 mm",,105,,,,,front,"84,0 x 90,0 mm",,,6 speed manual transmission,n.b.,,118 g/km,,"8,1 s",212 km/h,"5,3 l/100km",118 g/km,,"4,5 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Mini,Mini Roadster,fuel engine,2012,2012,,,"2-doors, convertible",,,3734 mm,1683 mm,1384 mm,,,,1190 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"84,0 x 90,0 mm",,105,,,,,front,"84,0 x 90,0 mm",,,6 speed automatic,n.b.,,143 g/km,,"8,3 s",204 km/h,"7,1 l/100km",143 g/km,,"5,4 l/100km",coil springs,,,coil springs,,,,2-doors,,,,,
Mitsubishi,Mitsubishi L200 Double Cab,fuel engine,2015,2015,,,"4-doors, pick-up",,,5205 mm,1785 mm,1775 mm,,,,1845 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,n.b.,,113,,,,,front+rear,n.b.,,,6 speed manual transmission,n.b.,,169 g/km,,- s,169 km/h,"7,6 l/100km",169 g/km,,"6,4 l/100km",leaf springs,,,coil springs,,,,4-doors,,,,,
Mitsubishi,Mitsubishi L200 Double Cab,fuel engine,2015,2015,,,"4-doors, pick-up",,,5205 mm,1785 mm,1780 mm,,,,1850 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,n.b.,,133,,,,,front+rear,n.b.,,,6 speed manual transmission,n.b.,,169 g/km,,- s,179 km/h,"7,6 l/100km",169 g/km,,"6,4 l/100km",leaf springs,,,coil springs,,,,4-doors,,,,,
Mitsubishi,Mitsubishi L200 Double Cab,fuel engine,2015,2015,,,"4-doors, pick-up",,,5205 mm,1785 mm,1780 mm,,,,1850 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,n.b.,,133,,,,,front+rear,n.b.,,,5 speed automatic,n.b.,,189 g/km,,- s,177 km/h,"8,4 l/100km",189 g/km,,"7,2 l/100km",leaf springs,,,coil springs,,,,4-doors,,,,,
Morgan,Morgan Aero Coupe,fuel engine,2012,2012,,,"2-doors, coupé",,,4147 mm,1751 mm,1248 mm,,,,1180 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"93,0 x 88,3 mm",,270,,,,,rear,"93,0 x 88,3 mm",,,6 speed automatic,n.b.,,256 g/km,,"4,5 s",273 km/h,"16,4 l/100km",256 g/km,,"11,0 l/100km",leaf springs,,,coil springs,,,,2-doors,,,,,
Morgan,Morgan Aero Coupe,fuel engine,2012,2012,,,"2-doors, coupé",,,4147 mm,1751 mm,1248 mm,,,,1175 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"93,0 x 88,3 mm",,270,,,,,rear,"93,0 x 88,3 mm",,,6 speed manual transmission,n.b.,,282 g/km,,"4,5 s",273 km/h,"18,2 l/100km",282 g/km,,"12,1 l/100km",leaf springs,,,coil springs,,,,2-doors,,,,,
Morris,Morris Marina,fuel engine,1979,1979,,,"4-doors, sedan",,,4290 mm,1650 mm,1420 mm,,,,900 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"70,61 x 81,28 mm",,43,,,,,front,"70,61 x 81,28 mm",,,4 speed manual transmission,n.b.,,- g/km,,"18,2 s",138 km/h,- l/100km,- g/km,,"8,4 l/100km",leaf springs,,,torsion bar,,,,4-doors,,,,,
Morris,Morris Marina,fuel engine,1979,1979,,,"4-doors, sedan",,,4290 mm,1650 mm,1420 mm,,,,900 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"70,61 x 81,28 mm",,43,,,,,front,"70,61 x 81,28 mm",,,4 speed manual transmission,n.b.,,- g/km,,"18,2 s",138 km/h,- l/100km,- g/km,,"8,4 l/100km",leaf springs,,,torsion bar,,,,4-doors,,,,,
Morris,Morris Marina,fuel engine,1979,1979,,,"4-doors, sedan",,,4290 mm,1650 mm,1420 mm,,,,940 kg,,,,,,,,,,,,,,,,,,,,fuel engine,2,,,,,"84,45 x 75,8 mm",,58,,,,,front,"84,45 x 75,8 mm",,,4 speed manual transmission,n.b.,,- g/km,,"14,8 s",155 km/h,- l/100km,- g/km,,"8,8 l/100km",leaf springs,,,torsion bar,,,,4-doors,,,,,
Nissan,Nissan NP300 Navara King Cab,fuel engine,2016,2016,,,"2-doors, pick-up",,,5225 mm,1850 mm,1790 mm,,,,1929 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 101,3 mm",,120,,,,,front+rear,"85,0 x 101,3 mm",,,6 speed manual transmission,n.b.,,169 g/km,,"12,0 s",172 km/h,"7,0 l/100km",169 g/km,,"6,4 l/100km",leaf springs,,,torsion bar,,,,2-doors,,,,,
Nissan,Nissan NP300 Navara King Cab,fuel engine,2016,2016,,,"2-doors, pick-up",,,5225 mm,1850 mm,1790 mm,,,,1929 kg,,,,,,,,,,,,,,,,,,,,fuel engine,4,,,,,"85,0 x 101,3 mm",,120,,,,,front+rear,"85,0 x 101,3 mm",,,6 speed manual transmission,n.b.,,169 g/km,,"12,0 s",172 km/h,"7,0 l/100km",169 g/km,,"6,4 l/100km",leaf springs,,,torsion bar,,,,2-doors,,,,,
